AMC, AMC Entertainment
FUBO, fuboTV Inc.
PLTR, Palantir Technologies
MARA, Marathon Digital Holdings
GREE, Greenridge Generation Holdings Inc.
MKFG, Markforged Holdings Corporation
WEBR, Weber Inc.
RIOT, Riot Blockchain
SOFI, SoFi Technologies
BROS, Dutch Bros
GDYN, Grid Dynamics Holdings
GLXY, Galaxy Digital Holdings
AEHR, Aehr Test Systems
SKIN, The Beauty Health Company
SKLZ, Skillz Inc.
TIGR, UP Fintech Holdings
UPWK, Upwork Inc.
XPEV, XPeng Inc.
CLVR, Clever Leaves Holdings
VUZI, Vuzix Corp.
BRK.B, Berkshire Hathaway